subject_id,speech_rate,speech_rate_ratio,verbal_fluency,lexical_richness,word_repetition_score,voice_fluency_pauses,voice_fluency_weighted,pause_level1_count,pause_level2_count,pause_level3_count,total_pause_time,total_speaking_time
0317,0.5317,1.0,22,19,0.1579,7,7,7,0,0,22.61,18.77
0318,0.6414,0.94,27,26,0.0385,8,8,8,0,0,24.95,17.14
0319,0.1744,1.0,10,8,0.25,4,12,1,2,1,51.85,5.48
0320,0.1934,0.83,11,11,0.0,5,13,3,0,2,39.03,17.85
0321,0.5535,1.0,30,26,0.1538,8,12,6,2,0,35.37,18.83
0322,0.7112,0.94,26,26,0.0,3,5,2,1,0,10.62,25.93
0323,0.1948,1.0,11,9,0.2222,6,18,2,2,2,50.51,5.94
0324,0.6866,0.96,36,25,0.28,7,15,3,4,0,35.95,16.48
0325,0.4013,0.91,21,20,0.05,9,15,6,3,0,40.76,11.58
0328,0.3052,1.0,17,17,0.0,8,14,6,1,1,43.81,11.89
0329,0.8048,1.0,38,27,0.2593,5,13,2,2,1,29.87,17.35
0330,0.0916,0.67,5,4,0.25,3,11,1,0,2,45.23,9.36
0331,0.5318,0.93,26,25,0.04,7,11,6,0,1,27.38,21.51
0332,0.3966,1.0,19,17,0.1176,6,12,4,1,1,28.74,19.17
0333,0.3194,0.9,17,16,0.0625,11,15,9,2,0,41.89,11.33
0334,0.762,1.0,35,25,0.28,8,8,8,0,0,21.48,24.45
0335,0.7216,0.94,30,29,0.0345,7,7,7,0,0,17.18,24.39
0336,0.8401,0.97,36,34,0.0294,2,4,1,1,0,8.19,34.67
0337,0.3118,1.0,16,15,0.0667,9,15,7,1,1,42.59,8.72
0338,1.548,0.98,76,55,0.2182,3,3,3,0,0,8.48,40.62
0339,0.5109,1.0,27,26,0.0385,6,14,3,2,1,34.83,18.01
0340,0.5222,1.0,26,24,0.0833,8,10,7,1,0,31.02,18.77
0341,0.7048,1.0,33,31,0.0645,5,9,3,2,0,28.38,18.44
0342,0.6507,0.95,31,28,0.1071,8,8,8,0,0,24.87,22.77
0343,0.5893,0.95,30,23,0.1739,7,13,4,3,0,32.0,18.91
0344,0.5962,0.95,26,26,0.0,5,7,4,1,0,20.79,22.82
0345,0.3771,0.9,19,19,0.0,7,17,3,3,1,38.66,11.73
0346,0.3767,0.92,21,20,0.05,10,18,6,4,0,46.18,9.57
0347,0.7908,1.0,37,27,0.2222,3,9,1,1,1,21.28,25.51
0348,0.6156,0.95,32,23,0.2609,11,13,10,1,0,35.03,16.96
0349,0.5185,0.95,24,23,0.0435,8,8,8,0,0,18.27,28.01
0350,0.4582,1.0,25,23,0.087,7,15,4,2,1,38.72,15.83
0351,0.2373,0.88,14,10,0.4,9,17,6,2,1,53.56,5.44
